ptprf,ctnna1,znf207,psmd4,dctn2,acta2,atp6v1f,gnpat,vwf,plod3,polr2g,gmfb,nol7,fam20b,ap3b1,hsph1,tfrc,parp1,dap3,thy1,kpnb1,lsm2,hgs,creb3l2,cap2,sae1,c8orf33,parp12,ptcd1,lage3,slc41a3,chst4,plvap
6.402,6.829,7.425,7.86,7.902,9.58,7.961,8.462,5.131,7.364,7.071,4.281,8.278,5.308,3.926,10.35,6.97,5.753,7.599,3.959,8.189,5.348,6.838,6.981,4.239,5.903,5.244,5.845,5.35,4.841,4.83,5.799,5.415
6.465,7.744,8.13,9.222,8.13,9.137,8.118,9.551,6.384,8.181,7.652,6.146,9.238,6.282,4.284,8.848,9.11,7.261,8.634,4.615,8.937,5.501,7.387,8.539,6.538,7.532,6.072,7.72,5.76,6.36,5.481,3.543,6.733
6.751,8.207,7.778,10.015,8.181,9.031,8.377,11.385,5.738,8.443,6.995,5.307,9.417,5.68,5.418,9.24,7.915,7.288,8.735,4.67,9.837,5.45,8.503,7.676,7.146,7.464,6.498,6.513,6.273,6.21,6.373,3.928,6.902
7.471,6.94,7.408,8.12,7.664,8.326,7.655,8.156,5.263,7.16,6.557,4.208,7.895,5.315,4.09,7.068,7.756,6.065,7.505,4.034,8.522,4.273,6.507,6.958,3.947,5.425,4.426,5.864,5.451,5.266,4.677,5.134,4.56
6.167,7.26,7.954,10.245,8.036,8.865,8.039,9.54,6.477,7.826,7.4,6.209,8.776,5.962,4.297,9.444,9.109,6.749,9.585,4.162,7.889,5.942,7.124,7.397,6.718,6.818,8.401,6.615,6.687,7.42,6.144,3.911,6.938
7.571,6.687,7.333,8.194,7.5,8.373,7.329,8.202,4.492,7.211,7.066,5.133,8.51,5.879,4.35,6.52,7.659,5.836,7.604,3.763,8.852,5.094,6.495,6.569,4.214,5.461,5.443,6.234,5.547,5.472,4.855,4.671,3.977
8.682,6.433,7.201,10.604,8.162,8.188,7.739,9.943,5.606,7.71,7.428,7.554,9.734,6.254,4.424,8.904,8.209,7.03,9.472,5.046,9.2,5.49,7.521,7.937,6.435,7.168,7.652,7.612,6.447,6.838,5.78,5.104,4.884
7.937,6.437,6.484,8.296,7.985,8.198,7.397,8.347,4.805,7.555,6.364,3.875,8.322,5.496,5.045,6.985,7.324,5.642,7.59,4.739,8.865,5.126,6.74,7.525,4.971,5.89,5.405,6.721,5.669,5.91,5.025,5.621,4.903
7.044,6.763,6.668,8.705,7.749,8.911,7.218,8.506,5.374,7.277,7.019,4.837,8.528,5.286,4.624,7.656,8.427,6.167,7.924,4.137,8.589,5.058,6.179,7.079,4.633,6.42,5.433,5.792,5.204,5.739,4.818,6.226,4.165
6.785,7.028,7.432,9.431,8.18,9.288,8.547,9.773,5.878,8.396,6.917,5.102,8.773,5.842,4.197,8.623,8.47,7.882,9.281,4.844,9.211,4.906,7.636,8.658,6.297,7.285,5.511,7.714,5.997,6.053,5.033,3.947,7.141
7.024,7.56,7.722,9.169,8.699,8.767,8.083,9.438,6.356,7.231,7.757,4.322,8.751,5.493,4.056,7.344,8.798,7.1,8.61,4.022,8.353,4.927,7.188,7.56,6.735,8.017,5.781,7.43,5.984,6.213,5.458,3.912,6.164
5.288,8.109,8.624,9.315,8.387,9.217,8.734,8.924,5.656,7.701,7.472,6.191,9.789,6.733,4.743,7.891,9.966,7.62,8.483,5.73,9.132,6.558,7.332,7.423,5.06,8.609,6.838,6.792,5.541,6.814,5.2,4.05,6.428
6.912,7.585,8.023,10.004,7.889,8.719,8.943,10.227,5.318,8.819,7.839,6.878,9.02,7.571,4.266,8.611,8.782,7.404,9.31,4.872,8.185,6.164,7.732,8.475,7.276,8.05,6.318,6.951,5.876,6.73,5.724,4.011,6.913
7.75,6.113,7.626,9.268,8.815,9.38,9.293,9.352,4.648,7.824,7.928,5.693,8.422,6.051,4.165,7.921,9.145,7.522,7.938,4.718,9.748,5.726,7.979,8.205,5.359,9.099,6.295,7.819,5.624,8.659,5.271,4.219,6.73
6.053,7.158,7.803,9.723,8.367,7.445,8.575,9.721,6.277,7.614,7.659,5.208,10.088,6.302,4.391,9.259,9.414,7.68,9.13,4.234,9.057,6.743,8.159,8.162,6.685,7.281,5.434,7.986,6.795,6.975,5.389,3.839,6.405
