,logFC,AveExpr,t,P.Value,adj.P.Val,B
CNIH4,1.35335113864167,9.63178747571065,21.4448645717473,3.57990082347805e-70,3.99251926254776e-69,149.060240562132
HCFC1,1.13321796246771,8.27273404188657,21.4327255341513,4.06439172172384e-70,4.51818303046e-69,148.933562070718
RND3,-1.60268715069688,8.39832996382639,-21.3895739007691,6.38203228765745e-70,7.07170351874301e-69,148.483231340766
TLCD1,1.12337997146459,7.14848540846991,21.3707813531889,7.76791942026181e-70,8.5796794882956e-69,148.287104557841
GLA,1.2123353318875,7.86769068049306,21.35131718629,9.5214427471218e-70,1.04492510659308e-68,148.08396382124
ASPG,-1.67316995347189,7.83168972596528,-21.3004165238937,1.62137021426723e-69,1.76806561460569e-68,147.552710111652
CDKN3,1.52798109935625,6.72571973879167,21.2921747350726,1.7673227189845e-69,1.91506420811096e-68,147.466687252718
PHPT1,1.11859524372916,9.09752090167593,21.2334342378359,3.26678980853642e-69,3.48491397277099e-68,146.85356870486
GBA3,-2.27124779500678,9.1340174386412,-21.2229656250745,3.6447891872986e-69,3.86415149949713e-68,146.744296412543
MANF,1.26423374280729,10.4271164992384,21.2063355290776,4.33722282238893e-69,4.57004920089141e-68,146.570707964197
SLC52A2,1.22409408626041,7.49780344344676,21.1645591244995,6.71396309834665e-69,7.00986724705798e-68,146.134626548128
CLN3,1.00464824630052,7.45188166044213,21.0942670044946,1.40052982114275e-68,1.44036525018723e-67,145.400854914081
FBL,1.05821627411353,8.99584736630787,21.0007766062654,3.72401706572413e-68,3.75131924362534e-67,144.424872872742
KRTCAP2,1.18249551467709,11.491891272213,20.9949348900886,3.95868411470557e-68,3.97604676433147e-67,144.363887596288
BCAP31,1.01168851649895,10.415515967463,20.9921722747639,4.07475558315927e-68,4.08069546010265e-67,144.335046905378
TUBB4B,1.12030640782604,9.15337037703704,20.9861047360299,4.34176974084572e-68,4.33545902901309e-67,144.271703924427
SLC50A1,1.07978399038437,7.89423177897569,20.8999091770534,1.06971029059513e-67,1.04092205331282e-66,143.3718403572
GPAA1,1.29655286406041,8.40891034379398,20.8403796429053,1.99399271720994e-67,1.92397892798206e-66,142.750356531082
TBCE,1.06421577278541,7.48116946546412,20.8280644702183,2.26816576840624e-67,2.18239479397071e-66,142.621786806995
SQLE,1.56315486345833,8.25902090341088,20.7737211040441,4.00472154359306e-67,3.81058684272636e-66,142.05444585744
NCAPD2,1.09834676254271,6.85015556785185,20.718669381356,7.12340961321389e-67,6.72222857730487e-66,141.479714010841
TOMM6,1.02054332998959,10.0902944359421,20.7085470508532,7.91911002915073e-67,7.45264190414596e-66,141.374039168162
OIT3,-1.10448583615521,6.38473777807176,-20.6931881094296,9.29942320521206e-67,8.7039560517448e-66,141.213695889359
DNASE1L3,-2.11426279011979,8.67234540199768,-20.6710256917153,1.17258735841431e-66,1.09155489868649e-65,140.982327554754
