experiment,classifier,n_control,class_imbalance,alpha1,alpha2,method,auc_mean,mean_accuracy,auc_sd,hyp,expGanMulti
sim,svm,120,0.4,0,0,ExpandGAN,0.5,0.3516305916305916,0.0,"SVC(C=5, gamma=0.1)",0.25
sim,svm,120,0.4,0,0,GAN,0.5,0.3485714285714286,0.0,"SVC(C=5, gamma=0.1)",
sim,svm,120,0.4,0,0,SMOTE,0.8506647580202368,0.8695670995670995,0.0010639591410624581,"SVC(C=1, gamma=0.1, kernel='linear')",
sim,svm,120,0.4,0,0,RO,0.8506137373156354,0.8695382395382395,0.001016319443328993,"SVC(C=1, gamma=0.1, kernel='linear')",
sim,svm,120,0.4,0,0,ExpandGAN,0.5000679065605727,0.3517316017316018,0.0006756617466690902,"SVC(C=5, gamma=0.1)",0.5
sim,svm,120,0.4,0,0,ExpandGAN,0.5000413975823812,0.35471861471861477,0.00041190074395868837,"SVC(C=5, gamma=0.1)",0.75
sim,svm,120,0.4,0,0,ExpandGAN,0.5002215133794081,0.37333333333333335,0.0009395858806498577,"SVC(C=5, gamma=0.1)",1.0
sim,histgradboost,120,0.4,1,0,ExpandGAN,0.8255455039320441,0.8091197691197691,0.0411355141161922,HistGradientBoostingClassifier(min_samples_leaf=50),0.25
sim,histgradboost,120,0.4,1,0,GAN,0.7538427124276994,0.705959595959596,0.023526797004592877,HistGradientBoostingClassifier(min_samples_leaf=10),
sim,histgradboost,120,0.4,1,0,SMOTE,0.716533867580028,0.7258441558441557,0.018624593930946877,"HistGradientBoostingClassifier(learning_rate=1, min_samples_leaf=10)",
sim,histgradboost,120,0.4,1,0,RO,0.7875385288025495,0.8022799422799424,0.01608942592816868,"HistGradientBoostingClassifier(learning_rate=1, min_samples_leaf=75)",
sim,histgradboost,120,0.4,1,0,ExpandGAN,0.7984665827094645,0.7832178932178933,0.043150484567214036,HistGradientBoostingClassifier(min_samples_leaf=25),0.5
sim,histgradboost,120,0.4,1,0,ExpandGAN,0.8269584687833178,0.8233477633477633,0.036539197013441854,HistGradientBoostingClassifier(min_samples_leaf=75),0.75
sim,histgradboost,120,0.4,1,0,ExpandGAN,0.7459706353148976,0.7267965367965368,0.0604215824756723,"HistGradientBoostingClassifier(learning_rate=0.01, min_samples_leaf=50)",1.0
sim,svm,120,0.4,1,0,ExpandGAN,0.5,0.3485714285714286,0.0,"SVC(C=5, gamma=0.1)",0.25
sim,svm,120,0.4,1,0,GAN,0.5,0.3485714285714286,0.0,"SVC(C=5, gamma=0.1)",
sim,svm,120,0.4,1,0,SMOTE,0.8506647580202368,0.8695670995670995,0.0010639591410624581,"SVC(C=1, gamma=0.1, kernel='linear')",
sim,svm,120,0.4,1,0,RO,0.8506137373156354,0.8695382395382395,0.001016319443328993,"SVC(C=1, gamma=0.1, kernel='linear')",
sim,svm,120,0.4,1,0,ExpandGAN,0.5000679065605727,0.34867243867243863,0.0006756617466690902,"SVC(C=5, gamma=0.1)",0.5
sim,svm,120,0.4,1,0,ExpandGAN,0.5,0.3485714285714286,0.0,"SVC(C=5, gamma=0.1)",0.75
sim,svm,120,0.4,1,0,ExpandGAN,0.5001040386609843,0.3579220779220779,0.001035171606527768,"SVC(C=5, gamma=0.1)",1.0
sim,histgradboost,120,0.4,1,1,ExpandGAN,0.8243464265897398,0.8075324675324675,0.041201112064108335,HistGradientBoostingClassifier(min_samples_leaf=50),0.25
sim,histgradboost,120,0.4,1,1,GAN,0.7538427124276994,0.705959595959596,0.023526797004592877,HistGradientBoostingClassifier(min_samples_leaf=10),
sim,histgradboost,120,0.4,1,1,SMOTE,0.716533867580028,0.7258441558441557,0.018624593930946877,"HistGradientBoostingClassifier(learning_rate=1, min_samples_leaf=10)",
sim,histgradboost,120,0.4,1,1,RO,0.7875385288025495,0.8022799422799424,0.01608942592816868,"HistGradientBoostingClassifier(learning_rate=1, min_samples_leaf=75)",
sim,histgradboost,120,0.4,1,1,ExpandGAN,0.8190667822893879,0.8114862914862915,0.041138299459986365,HistGradientBoostingClassifier(min_samples_leaf=50),0.5
sim,histgradboost,120,0.4,1,1,ExpandGAN,0.8278225525313533,0.8232323232323232,0.03770368915892281,HistGradientBoostingClassifier(min_samples_leaf=75),0.75
